Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,3,B def,Bitter - DEF,krs4,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,5,A def,Acid - DEF,krs4,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,5,C1,CONTROL 1,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,7,C2,CONTROL 2,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,9,C3,CONTROL 3,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,8,M def,Malty - DEF,dk657,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,6,C4,CONTROL 4,dk657,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,4,FF def,Fruity Fermented - DEF,dk657,,,,,,,,,1,,,,,,,,,,5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,2,C5,CONTROL 5,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,1,B def,Bitter - DEF,dk657,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,3,A def,Acid - DEF,dk657,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,3,C1,CONTROL 1,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,5,C2,CONTROL 2,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,7,C3,CONTROL 3,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,9,M def,Malty - DEF,cjh263,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,8,C4,CONTROL 4,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,6,FF def,Fruity Fermented - DEF,cjh263,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,4,C5,CONTROL 5,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,2,B def,Bitter - DEF,cjh263,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,1,A def,Acid - DEF,cjh263,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,9,C1,CONTROL 1,arw93,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,7,C2,CONTROL 2,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,5,C3,CONTROL 3,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,3,M def,Malty - DEF,arw93,,,,,,,,,,,,,1,,,,,,5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,1,C4,CONTROL 4,arw93,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,2,FF def,Fruity Fermented - DEF,arw93,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,4,C5,CONTROL 5,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,6,B def,Bitter - DEF,arw93,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,8,A def,Acid - DEF,arw93,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,8,C1,CONTROL 1,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,9,C2,CONTROL 2,sw38,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,7,C3,CONTROL 3,sw38,,,,,,,,,,,,,,1,,,,,8.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,5,M def,Malty - DEF,sw38,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,3,C4,CONTROL 4,sw38,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,1,FF def,Fruity Fermented - DEF,sw38,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,2,C5,CONTROL 5,sw38,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,4,B def,Bitter - DEF,sw38,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK ,6,A def,Acid - DEF,sw38,2,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,2% WHITE MILK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,LO - def,2013,Light Oxidized - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
2,C6,P612,CONTROL 6,Sample,,,,,,,,,,,,,,,,,,,,,
3,C7,P613,CONTROL 7,Sample,,,,,,,,,,,,,,,,,,,,,
4,MC - def,P615,Milk Carton - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
5,C8,P614,CONTROL 8,Sample,,,,,,,,,,,,,,,,,,,,,
6,CK - def,2005,Cooked - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
7,FL - def,2009,Flat - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
8,FE - def,2007,Feed - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
9,R - def,2017,Rancid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,1,LO - def,Light Oxidized - DEF,nrs13,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,3,C6,CONTROL 6,nrs13,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,5,C7,CONTROL 7,nrs13,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,7,MC - def,Milk Carton - DEF,nrs13,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,9,C8,CONTROL 8,nrs13,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,8,CK - def,Cooked - DEF,nrs13,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,6,FL - def,Flat - DEF,nrs13,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,4,FE - def,Feed - DEF,nrs13,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,2,R - def,Rancid - DEF,nrs13,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,2,LO - def,Light Oxidized - DEF,aj425,,,,,,,,,,,,2,,,,,,,3,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,1,C6,CONTROL 6,aj425,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,3,C7,CONTROL 7,aj425,,,,,,,,,,,,,,,,,,,9.6,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,5,MC - def,Milk Carton - DEF,aj425,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,7,C8,CONTROL 8,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,9,CK - def,Cooked - DEF,aj425,,,,,3,,,,,,,,,,,,,,6,Nt
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,8,FL - def,Flat - DEF,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,6,FE - def,Feed - DEF,aj425,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,4,R - def,Rancid - DEF,aj425,,,,,,,,,,,,,,,1,,,,4,Nt
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,4,LO - def,Light Oxidized - DEF,at543,,,,,,,,,,,,2,,,,,,,5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,2,C6,CONTROL 6,at543,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,1,C7,CONTROL 7,at543,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,3,MC - def,Milk Carton - DEF,at543,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,5,C8,CONTROL 8,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,7,CK - def,Cooked - DEF,at543,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,9,FL - def,Flat - DEF,at543,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,8,FE - def,Feed - DEF,at543,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,6,R - def,Rancid - DEF,at543,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,6,LO - def,Light Oxidized - DEF,ram524,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,4,C6,CONTROL 6,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,2,C7,CONTROL 7,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,1,MC - def,Milk Carton - DEF,ram524,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,3,C8,CONTROL 8,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,5,CK - def,Cooked - DEF,ram524,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,7,FL - def,Flat - DEF,ram524,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,9,FE - def,Feed - DEF,ram524,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,8,R - def,Rancid - DEF,ram524,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,8,LO - def,Light Oxidized - DEF,kg292,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,6,C6,CONTROL 6,kg292,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,4,C7,CONTROL 7,kg292,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,2,MC - def,Milk Carton - DEF,kg292,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,1,C8,CONTROL 8,kg292,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,3,CK - def,Cooked - DEF,kg292,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,5,FL - def,Flat - DEF,kg292,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,7,FE - def,Feed - DEF,kg292,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,9,R - def,Rancid - DEF,kg292,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,9,LO - def,Light Oxidized - DEF,sjr267,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 111015 Fall 2015,2% WHITE MILK,8,C6,CONTROL 6,sjr267,,,,,,,,,,,,,,,,,,,10,
